t,orig,recon
3.57,0.0729391966,0.0876032362
3.58,0.0739391966,0.0886230694
3.59,0.0749391966,0.0895871867
3.6,0.0759391966,0.090494543
3.61,0.0769391966,0.0913441018
3.62,0.0769391966,0.0921348313
3.63,0.0779391966,0.0928657016
3.64,0.0779391966,0.0935356834
3.65,0.0789391966,0.0941437472
3.66,0.0789391966,0.0946888632
3.67,0.0799391966,0.0951700028
3.68,0.0799391966,0.0955861409
3.69,0.0799391966,0.0959362591
3.7,0.0799391966,0.0962193498
3.71,0.0809391966,0.0964344217
3.72,0.0809391966,0.0965805049
3.73,0.0809391966,0.0966566581
3.74,0.0809391966,0.0966619755
3.75,0.0809391966,0.0965955942
3.76,0.0799391966,0.0964567024
3.77,0.0799391966,0.0962445469
3.78,0.0799391966,0.0959584419
3.79,0.0789391966,0.0955977765
3.8,0.0789391966,0.0951620227
3.81,0.0789391966,0.0946507424
3.82,0.0779391966,0.0940635946
3.83,0.0769391966,0.0934003414
3.84,0.0769391966,0.0926608534
3.85,0.0759391966,0.0918451144
3.86,0.0749391966,0.0909532249
3.87,0.0739391966,0.089985405
3.88,0.0739391966,0.0889419956
3.89,0.0729391966,0.0878234593
3.9,0.0719391966,0.0866303798
3.91,0.0699391966,0.0853634602
3.92,0.0689391966,0.0840235202
3.93,0.0679391966,0.0826114929
3.94,0.0669391966,0.0811284199
3.95,0.0649391966,0.0795754459
3.96,0.0639391966,0.0779538129
3.97,0.0629391966,0.0762648528
3.98,0.0609391966,0.0745099809
3.99,0.0599391966,0.0726906873
4,0.0579391966,0.0708085299
4.01,0.0559391966,0.0688651256
4.02,0.0549391966,0.0668621425
4.03,0.0529391966,0.0648012922
4.04,0.0509391966,0.0626843217
4.05,0.0489391966,0.0605130069
4.06,0.0469391966,0.0582891451
4.07,0.0449391966,0.0560145495
4.08,0.0429391966,0.0536910436
4.09,0.0409391966,0.0513204567
4.1,0.0389391966,0.04890462
4.11,0.0369391966,0.0464453641
4.12,0.0349391966,0.0439445166
4.13,0.0329391966,0.0414039012
4.14,0.0309391966,0.0388253377
4.15,0.0279391966,0.0362106425
4.16,0.0259391966,0.0335616304
4.17,0.0239391966,0.0308801163
4.18,0.0209391966,0.0281679187
4.19,0.0189391966,0.025426863
4.2,0.0169391966,0.0226587853
4.21,0.0139391966,0.0198655369
4.22,0.0119391966,0.0170489886
4.23,0.00893919663,0.0142110356
4.24,0.00693919663,0.0113536021
4.25,0.00393919663,0.0084786455
4.26,0.00193919663,0.00558816083
4.27,-0.00106080337,0.0026841844
4.28,-0.00306080337,-0.000231202853
4.29,-0.00606080337,-0.00315587274
4.3,-0.00806080337,-0.00608764787
4.31,-0.0110608034,-0.00902430044
4.32,-0.0130608034,-0.0119635519
4.33,-0.0160608034,-0.0149030736
4.34,-0.0180608034,-0.017840488
4.35,-0.0210608034,-0.0207733714
4.36,-0.0230608034,-0.023699257
4.37,-0.0260608034,-0.0266156392
4.38,-0.0280608034,-0.0295199787
4.39,-0.0310608034,-0.032409708
4.4,-0.0330608034,-0.0352822388
4.41,-0.0360608034,-0.0381349681
4.42,-0.0380608034,-0.0409652868
